:START_ID(Health-ID),:END_ID(Health-ID),:TYPE
R3926,sR2775,类别
R3926,sR2776,地址
R3926,sR2777,地理位置
R2397,sR2778,类别
R2397,sR2779,地址
R2397,sR2780,地理位置
R6798,R6906,涉及症状
R6798,R6677,涉及症状
R6798,R6862,涉及症状
R6798,R6599,涉及症状
R6798,R6013,涉及症状
R6798,R7106,涉及症状
R6798,sR2781,起因
R6798,sR2782,诊断
R6798,sR2783,预防
R6798,sR2784,简介概述
R4156,sR2785,类别
R4156,sR2786,地址
R4156,sR2787,地理位置
R3623,sR2788,类别
R3623,sR2789,地址
R3623,sR2790,地理位置
R2582,sR2791,类别
R2582,sR2792,地址
R2582,sR2793,地理位置
R1800,sR2794,类别
R1800,sR2795,地址
R1800,sR2796,地理位置
R3578,sR2797,类别
R3578,sR2798,地址
R3578,sR2799,地理位置
R4283,sR2800,类别
R4283,sR2801,地址
R4283,sR2802,地理位置
R1914,sR2803,类别
R1914,sR2804,地址
R1914,sR2805,地理位置
R1285,sR2806,类别
R1285,sR2807,地址
R1285,sR2808,地理位置
R240,sR2809,类别
R240,sR2810,地址
R240,sR2811,地理位置
R6146,sR2812,类别
R6146,sR2813,地址
R6146,sR2814,地理位置
R5206,sR2815,类别
R5206,sR2816,地址
R5206,sR2817,地理位置
R5917,sR2818,类别
R5917,sR2819,地址
R5917,sR2820,地理位置
R1264,sR2821,类别
R1264,sR2822,地址
R1264,sR2823,地理位置
R2108,sR2824,类别
R2108,sR2825,地址
R2108,sR2826,地理位置
R731,R1984,涉及检查
R731,R5512,涉及检查
R731,R2301,涉及检查
R7029,R6780,涉及症状
R7029,R6962,涉及症状
R7029,R7038,涉及症状
R7029,R6710,涉及症状
R7029,R6798,涉及症状
R7029,R1627,涉及症状
R7029,sR2827,起因
R7029,R6267,涉及疾病
R7029,R6447,涉及疾病
R7029,sR2828,诊断
R7029,sR2829,预防
R7029,sR2830,简介概述
R6508,R3255,涉及检查
R5093,sR2831,类别
R5093,sR2832,地址
R5093,sR2833,地理位置
R257,sR2834,类别
R257,sR2835,地址
R257,sR2836,地理位置
R4603,sR2837,类别
R4603,sR2838,地址
R4603,sR2839,地理位置
R2998,sR2840,类别
R2998,sR2841,地址
R2998,sR2842,地理位置
R6013,sR2843,起因
R6013,sR2844,诊断
R6013,sR2845,预防
R6013,sR2846,简介概述
R1337,sR2847,类别
R1337,sR2848,地址
R1337,sR2849,地理位置
R2000,sR2850,类别
R2000,sR2851,地址
R2000,sR2852,地理位置
R4054,sR2853,类别
R4054,sR2854,地址
R4054,sR2855,地理位置
R6067,sR2856,类别
R6067,sR2857,地址
R6067,sR2858,地理位置
R3380,sR2859,类别
R3380,sR2860,地址
R3380,sR2861,地理位置
R4161,sR2862,类别
R4161,sR2863,地址
R4161,sR2864,地理位置
R1305,sR2865,类别
R1305,sR2866,地址
R1305,sR2867,地理位置
R2219,sR2868,类别
R2219,sR2869,地址
R2219,sR2870,地理位置
R835,sR2871,类别
R835,sR2872,地址
R835,sR2873,地理位置
R1445,sR2874,类别
R1445,sR2875,地址
R1445,sR2876,地理位置
R1565,sR2877,类别
R1565,sR2878,地址
R1565,sR2879,地理位置
R5152,sR2880,类别
R5152,sR2881,地址
R5152,sR2882,地理位置
R2459,sR2883,类别
R2459,sR2884,地址
R2459,sR2885,地理位置
R2549,sR2886,类别
R2549,sR2887,地址
R2549,sR2888,地理位置
R825,sR2889,类别
R825,sR2890,地址
R825,sR2891,地理位置
R2354,sR2892,类别
R2354,sR2893,地址
R2354,sR2894,地理位置
R5088,sR2895,类别
R5088,sR2896,地址
R5088,sR2897,地理位置
R1376,sR2898,类别
R1376,sR2899,地址
R1376,sR2900,地理位置
R3964,sR2901,类别
R3964,sR2902,地址
R3964,sR2903,地理位置
R4697,sR2904,类别
R4697,sR2905,地址
R4697,sR2906,地理位置
R620,sR2907,类别
R620,sR2908,地址
R620,sR2909,地理位置
R2324,sR2910,类别
R2324,sR2911,地址
R2324,sR2912,地理位置
R3363,sR2913,类别
R3363,sR2914,地址
R3363,sR2915,地理位置
R1416,sR2916,类别
R1416,sR2917,地址
R1416,sR2918,地理位置
R5912,sR2919,类别
R5912,sR2920,地址
R5912,sR2921,地理位置
R5173,sR2922,类别
R5173,sR2923,地址
R5173,sR2924,地理位置
R3318,sR2925,类别
R3318,sR2926,地址
R3318,sR2927,地理位置
R1924,sR2928,类别
R1924,sR2929,地址
R1924,sR2930,地理位置
R7085,R7082,涉及症状
R7085,R6779,涉及症状
R7085,R7100,涉及症状
R7085,sR2931,起因
R7085,R6556,涉及疾病
R7085,R6243,涉及疾病
R7085,R6193,涉及疾病
R7085,R273,涉及检查
R7085,sR2932,诊断
R7085,sR2933,预防
R7085,sR2934,简介概述
R4824,sR2935,类别
R4824,sR2936,地址
R4824,sR2937,地理位置
R3035,sR2938,类别
R3035,sR2939,地址
R3035,sR2940,地理位置
R2159,sR2941,类别
R2159,sR2942,地址
R2159,sR2943,地理位置
R5728,sR2944,类别
R5728,sR2945,地址
R5728,sR2946,地理位置
R492,sR2947,类别
R492,sR2948,地址
R492,sR2949,地理位置
R1426,sR2950,类别
R1426,sR2951,地址
R1426,sR2952,地理位置
R639,sR2953,类别
R639,sR2954,地址
R639,sR2955,地理位置
R1642,sR2956,地址
R1642,sR2957,地理位置
R6242,R1738,科室
R6242,R6616,涉及症状
R6242,R6977,涉及症状
R6242,sR2958,ICD10编码
R6242,sR2959,饮食禁忌
R6242,sR2960,并发症
R6242,sR2961,发病机制
R6242,sR2962,一般治疗
R6242,sR2963,发病部位
R6242,sR2964,诊断
R6242,sR2965,预防
R6242,sR2966,预后
R6242,sR2967,随访
R6242,sR2968,简介概述
R6242,sR2969,药物治疗
R6242,sR2970,治疗方法
R6242,sR2971,高发人群
R2172,sR2972,类别
R2172,sR2973,地址
R2172,sR2974,地理位置
R868,sR2975,类别
R868,sR2976,地址
R868,sR2977,地理位置
R2203,sR2978,类别
R2203,sR2979,地址
R2203,sR2980,地理位置
R676,sR2981,类别
R676,sR2982,地址
R676,sR2983,地理位置
R4982,sR2984,类别
R4982,sR2985,地址
R4982,sR2986,地理位置
R348,sR2987,类别
R348,sR2988,地址
R348,sR2989,地理位置
R5852,sR2990,类别
R5852,sR2991,地址
R5852,sR2992,地理位置
R4013,sR2993,类别
R4013,sR2994,地址
R4013,sR2995,地理位置
R39,sR2996,类别
R39,sR2997,地址
R39,sR2998,地理位置
R3204,sR2999,类别
R3204,sR3000,地址
R3204,sR3001,地理位置
R130,sR3002,类别
R130,sR3003,地址
R130,sR3004,地理位置
R4736,sR3005,类别
R4736,sR3006,地址
R4736,sR3007,地理位置
R4131,sR3008,类别
R4131,sR3009,地址
R4131,sR3010,地理位置
R6227,R3134,科室
R6227,R5574,涉及症状
R6227,sR3011,ICD10编码
R6227,sR3012,饮食禁忌
R6227,sR3013,并发症
R6227,sR3014,发病机制
R6227,sR3015,一般治疗
R6227,sR3016,发病部位
R6227,sR3017,诊断
R6227,sR3018,预防
R6227,sR3019,预后
R6227,sR3020,简介概述
R6227,sR3021,药物治疗
R6227,sR3022,治疗方法
R6227,sR3023,高发人群
R194,sR3024,类别
R194,sR3025,地址
R194,sR3026,地理位置
R136,sR3027,类别
R136,sR3028,地址
R136,sR3029,地理位置
R3355,sR3030,地址
R3355,sR3031,地理位置
R4958,sR3032,类别
R4958,sR3033,地址
R4958,sR3034,地理位置
R6430,R1610,涉及检查
R2712,sR3035,类别
R2712,sR3036,地址
R2712,sR3037,地理位置
R3350,sR3038,类别
R3350,sR3039,地址
R3350,sR3040,地理位置
R5046,sR3041,类别
R5046,sR3042,地址
R5046,sR3043,地理位置
R189,sR3044,类别
R189,sR3045,地址
R189,sR3046,地理位置
R5980,sR3047,类别
R5980,sR3048,地址
R5980,sR3049,地理位置
R2119,sR3050,类别
R2119,sR3051,地址
R2119,sR3052,地理位置
R4932,sR3053,类别
R4932,sR3054,地址
R4932,sR3055,地理位置
R5198,sR3056,类别
R5198,sR3057,地址
R5198,sR3058,地理位置
R1737,sR3059,类别
R1737,sR3060,地址
R1737,sR3061,地理位置
R1068,sR3062,类别
R1068,sR3063,地址
R1068,sR3064,地理位置
R2008,sR3065,类别
R2008,sR3066,地址
R2008,sR3067,地理位置
R3066,sR3068,类别
R3066,sR3069,地址
R3066,sR3070,地理位置
R5923,sR3071,类别
R5923,sR3072,地址
R5923,sR3073,地理位置
R1312,sR3074,类别
R1312,sR3075,地址
R1312,sR3076,地理位置
R1408,sR3077,类别
R1408,sR3078,地址
R1408,sR3079,地理位置
R4589,sR3080,类别
R4589,sR3081,地址
R4589,sR3082,地理位置
R5314,sR3083,类别
R5314,sR3084,地址
R5314,sR3085,地理位置
R4558,sR3086,类别
R4558,sR3087,地址
R4558,sR3088,地理位置
R3255,R6858,涉及症状
R3255,R6167,涉及疾病
R3255,R6402,涉及疾病
R3255,R6506,涉及疾病
R3255,R6320,涉及疾病
R3255,R6570,涉及疾病
R3255,R6413,涉及疾病
R3255,R6333,涉及疾病
R3255,R6324,涉及疾病
R3255,R6468,涉及疾病
R3255,R6436,涉及疾病
R3255,R6205,涉及疾病
R3255,R6508,涉及疾病
R3255,R6352,涉及疾病
R3255,R6239,涉及疾病
R3255,R6435,涉及疾病
R3255,R6287,涉及疾病
R3255,R6237,涉及疾病
R3255,R6392,涉及疾病
R3255,R6202,涉及疾病
R3255,R6278,涉及疾病
R3255,R6196,涉及疾病
R3255,R6526,涉及疾病
R3255,R6529,涉及疾病
R3255,R6500,涉及疾病
R3255,R6246,涉及疾病
R3255,R6404,涉及疾病
R3255,R6440,涉及疾病
R3255,R6518,涉及疾病
R3255,R6569,涉及疾病
R3255,R6164,涉及疾病
R3255,R6210,涉及疾病
R3255,sR3089,是否空腹
R3255,sR3090,注意事项
R3255,sR3091,简介概述
R3255,sR3092,适应症
R3255,sR3093,详细过程
R6926,R6784,涉及症状
R6926,R1231,涉及症状
R6926,R6943,涉及症状
R6926,R6853,涉及症状
R6926,R7033,涉及症状
R6926,sR3094,起因
R6926,sR3095,诊断
R6926,sR3096,预防
R6926,sR3097,简介概述
R6745,R6914,涉及症状
R6745,R6853,涉及症状
R6745,sR3098,起因
R6745,R6327,涉及疾病
R6745,R6512,涉及疾病
R6745,R790,涉及检查
R6745,sR3099,诊断
R6745,sR3100,预防
R6745,sR3101,简介概述
R839,sR3102,类别
R839,sR3103,地址
R839,sR3104,地理位置
R2685,sR3105,类别
R2685,sR3106,地址
R2685,sR3107,地理位置
R1883,sR3108,类别
R1883,sR3109,地址
R1883,sR3110,地理位置
R5575,sR3111,类别
R5575,sR3112,地址
R5575,sR3113,地理位置
R1371,sR3114,类别
R1371,sR3115,地址
R1371,sR3116,地理位置
R1624,sR3117,类别
R1624,sR3118,地址
R1624,sR3119,地理位置
R5757,sR3120,类别
R5757,sR3121,地址
R5757,sR3122,地理位置
R6817,R1610,涉及检查
R1622,sR3123,类别
R1622,sR3124,地址
R1622,sR3125,地理位置
R6524,R3691,科室
R6524,sR3126,并发症
R6524,sR3127,发病机制
R6524,sR3128,一般治疗
R6524,R1984,涉及检查
R6524,sR3129,诊断
R6524,sR3130,预防
R6524,sR3131,预后
R6524,sR3132,随访
R6524,sR3133,简介概述
R6524,sR3134,药物治疗
R6524,sR3135,治疗方法
R2060,sR3136,类别
R2060,sR3137,地址
R2060,sR3138,地理位置
R3261,sR3139,类别
R3261,sR3140,地址
R3261,sR3141,地理位置
R4019,sR3142,类别
R4019,sR3143,地址
R4019,sR3144,地理位置
R2870,sR3145,类别
R2870,sR3146,地址
R2870,sR3147,地理位置
R4396,sR3148,类别
R4396,sR3149,地址
R4396,sR3150,地理位置
R4992,sR3151,类别
R4992,sR3152,地址
R4992,sR3153,地理位置
R4915,sR3154,用途标签
R4915,sR3155,简介概述
R6190,R3134,科室
R6190,R6624,涉及症状
R6190,sR3156,ICD10编码
R6190,sR3157,并发症
R6190,sR3158,发病机制
R6190,sR3159,一般治疗
R6190,sR3160,诊断
R6190,sR3161,预防
R6190,sR3162,预后
R6190,sR3163,简介概述
R6190,sR3164,药物治疗
R6190,sR3165,治疗方法
R2070,sR3166,类别
R2070,sR3167,地址
R2070,sR3168,地理位置
R4163,sR3169,类别
R4163,sR3170,地址
R4163,sR3171,地理位置
R6978,R3031,涉及检查
R2815,sR3172,类别
R2815,sR3173,地址
R2815,sR3174,地理位置
R5884,sR3175,类别
R5884,sR3176,地址
R5884,sR3177,地理位置
R2572,sR3178,类别
R2572,sR3179,地址
R2572,sR3180,地理位置
R1757,sR3181,类别
R1757,sR3182,地址
R1757,sR3183,地理位置
R1345,sR3184,类别
R1345,sR3185,地址
R1345,sR3186,地理位置
R337,sR3187,类别
R337,sR3188,地址
R337,sR3189,地理位置
R867,sR3190,类别
R867,sR3191,地址
R867,sR3192,地理位置
R4292,sR3193,类别
R4292,sR3194,地址
R4292,sR3195,地理位置
R6496,R1593,科室
R6496,R6661,涉及症状
R6496,sR3196,ICD10编码
R6496,sR3197,饮食禁忌
R6496,sR3198,并发症
R6496,sR3199,发病机制
R6496,sR3200,一般治疗
R6496,sR3201,发病部位
R6496,sR3202,诊断
R6496,sR3203,预防
R6496,sR3204,预后
R6496,sR3205,随访
R6496,sR3206,简介概述
R6496,sR3207,药物治疗
R6496,sR3208,治疗方法
R6496,sR3209,高发人群
R6169,R2803,科室
R6169,R6615,涉及症状
R6169,sR3210,ICD10编码
R6169,sR3211,饮食禁忌
R6169,sR3212,并发症
R6169,sR3213,发病机制
R6169,sR3214,一般治疗
R6169,sR3215,发病部位
R6169,sR3216,诊断
R6169,sR3217,预防
R6169,sR3218,预后
R6169,sR3219,简介概述
R6169,sR3220,治疗方法
R6169,sR3221,高发人群
R1838,sR3222,类别
R1838,sR3223,地址
R1838,sR3224,地理位置
R1026,sR3225,类别
R1026,sR3226,地址
R1026,sR3227,地理位置
R5895,sR3228,类别
R5895,sR3229,地址
R5895,sR3230,地理位置
R3662,sR3231,类别
R3662,sR3232,地址
R3662,sR3233,地理位置
R7036,R6985,涉及症状
R7036,sR3234,起因
R7036,R6395,涉及疾病
R7036,R6547,涉及疾病
R7036,R2301,涉及检查
R7036,sR3235,诊断
R7036,sR3236,预防
R7036,sR3237,简介概述
R3906,sR3238,类别
R3906,sR3239,地址
R3906,sR3240,地理位置
R5269,sR3241,类别
R5269,sR3242,地址
R5269,sR3243,地理位置
R5018,sR3244,类别
R5018,sR3245,地址
R5018,sR3246,地理位置
R3156,sR3247,类别
R3156,sR3248,地址
R3156,sR3249,地理位置
R2640,sR3250,类别
R2640,sR3251,地址
R2640,sR3252,地理位置
R3106,sR3253,类别
R3106,sR3254,地址
R3106,sR3255,地理位置
R2844,sR3256,类别
R2844,sR3257,地址
R2844,sR3258,地理位置
R5843,sR3259,类别
R5843,sR3260,地址
R5843,sR3261,地理位置
R3111,sR3262,类别
R3111,sR3263,地址
R3111,sR3264,地理位置
R6550,R4763,科室
R6550,R6668,涉及症状
R6550,R6700,涉及症状
R6550,R7064,涉及症状
R6550,sR3265,ICD10编码
R6550,sR3266,饮食禁忌
R6550,sR3267,并发症
R6550,sR3268,发病机制
R6550,sR3269,一般治疗
R6550,sR3270,发病部位
R6550,sR3271,诊断
R6550,sR3272,预防
R6550,sR3273,预后
R6550,sR3274,随访
R6550,sR3275,简介概述
R6550,sR3276,药物治疗
R6550,sR3277,治疗方法
R6550,sR3278,高发人群
R5511,sR3279,类别
R5511,sR3280,地址
R5511,sR3281,地理位置
R5916,sR3282,类别
R5916,sR3283,地址
R5916,sR3284,地理位置
R4942,sR3285,类别
R4942,sR3286,地址
R4942,sR3287,地理位置
R3543,sR3288,类别
R3543,sR3289,地址
R3543,sR3290,地理位置
R3659,sR3291,类别
R3659,sR3292,地址
R3659,sR3293,地理位置
R2115,sR3294,类别
R2115,sR3295,地址
R2115,sR3296,地理位置
R4314,sR3297,类别
R4314,sR3298,地址
R4314,sR3299,地理位置
R3795,sR3300,类别
R3795,sR3301,地址
R3795,sR3302,地理位置
R2483,sR3303,类别
R2483,sR3304,地址
R2483,sR3305,地理位置
R5828,sR3306,类别
R5828,sR3307,地址
R5828,sR3308,地理位置
R4678,sR3309,类别
R4678,sR3310,地址
R4678,sR3311,地理位置
R601,sR3312,类别
R601,sR3313,地址
R601,sR3314,地理位置
R5124,sR3315,类别
R5124,sR3316,地址
R5124,sR3317,地理位置
R5294,sR3318,类别
R5294,sR3319,地址
R5294,sR3320,地理位置
R5401,sR3321,类别
R5401,sR3322,地址
R5401,sR3323,地理位置
R6545,R1984,涉及检查
R3442,sR3324,临床意义
R3442,sR3325,参考值
R3442,sR3326,提示
R3442,sR3327,不良反应
R3442,sR3328,是否空腹
R3442,sR3329,注意事项
R3442,sR3330,简介概述
R3442,sR3331,详细过程
R3470,sR3332,类别
R3470,sR3333,地址
R3470,sR3334,地理位置
R4043,sR3335,类别
R4043,sR3336,地址
R4043,sR3337,地理位置
R3971,sR3338,类别
R3971,sR3339,地址
R3971,sR3340,地理位置
R3237,sR3341,类别
R3237,sR3342,地址
R3237,sR3343,地理位置
R1419,sR3344,类别
R1419,sR3345,地址
R1419,sR3346,地理位置
R2837,sR3347,类别
R2837,sR3348,地址
R2837,sR3349,地理位置
R1349,sR3350,类别
R1349,sR3351,地址
R1349,sR3352,地理位置
R500,sR3353,类别
R500,sR3354,地址
R500,sR3355,地理位置
R1773,sR3356,类别
R1773,sR3357,地址
R1773,sR3358,地理位置
R503,sR3359,类别
R503,sR3360,地址
R503,sR3361,地理位置
R6123,sR3362,类别
R6123,sR3363,地址
R6123,sR3364,地理位置
R2510,sR3365,类别
R2510,sR3366,地址
R2510,sR3367,地理位置
R4692,sR3368,类别
R4692,sR3369,地址
R4692,sR3370,地理位置
R3881,sR3371,类别
R3881,sR3372,地址
R3881,sR3373,地理位置
R6039,sR3374,类别
R6039,sR3375,地址
R6039,sR3376,地理位置
R4358,sR3377,类别
R4358,sR3378,地址
R4358,sR3379,地理位置
R6510,R4596,科室
R6510,R6719,涉及症状
R6510,sR3380,ICD10编码
R6510,sR3381,饮食禁忌
R6510,sR3382,并发症
R6510,sR3383,发病机制
R6510,sR3384,一般治疗
R6510,sR3385,发病部位
R6510,R2301,涉及检查
R6510,sR3386,诊断
R6510,sR3387,预防
R6510,sR3388,预后
R6510,sR3389,随访
R6510,sR3390,简介概述
R6510,sR3391,药物治疗
R6510,sR3392,治疗方法
R6510,sR3393,高发人群
R4551,sR3394,类别
R4551,sR3395,地址
R4551,sR3396,地理位置
R5951,sR3397,类别
R5951,sR3398,地址
R5951,sR3399,地理位置
R3243,sR3400,类别
R3243,sR3401,地址
R3243,sR3402,地理位置
R4230,sR3403,类别
R4230,sR3404,地址
R4230,sR3405,地理位置
R5965,sR3406,类别
R5965,sR3407,地址
R5965,sR3408,地理位置
R1415,sR3409,类别
R1415,sR3410,地址
R1415,sR3411,地理位置
R584,sR3412,类别
R584,sR3413,地址
R584,sR3414,地理位置
R2624,sR3415,类别
R2624,sR3416,地址
R2624,sR3417,地理位置
R2846,sR3418,类别
R2846,sR3419,地址
R2846,sR3420,地理位置
R2455,sR3421,类别
R2455,sR3422,地址
R2455,sR3423,地理位置
R6263,R2301,涉及检查
R6263,R3620,涉及检查
R2134,sR3424,类别
R2134,sR3425,地址
R2134,sR3426,地理位置
R6379,R3620,涉及检查
R5098,R1593,科室
R5098,R6647,涉及症状
R5098,sR3427,ICD10编码
R5098,sR3428,饮食禁忌
R5098,sR3429,并发症
R5098,sR3430,发病机制
R5098,sR3431,一般治疗
R5098,sR3432,发病部位
R5098,sR3433,诊断
R5098,sR3434,预防
R5098,sR3435,预后
R5098,sR3436,随访
R5098,sR3437,简介概述
R5098,sR3438,药物治疗
R5098,sR3439,治疗方法
R5098,sR3440,高发人群
R5721,sR3441,类别
R5721,sR3442,地址
R5721,sR3443,地理位置
R1826,sR3444,类别
R1826,sR3445,地址
R1826,sR3446,地理位置
R7047,R6013,涉及症状
R7047,R7084,涉及症状
R7047,R7103,涉及症状
R7047,R6856,涉及症状
R7047,sR3447,起因
R7047,R1610,涉及检查
R7047,sR3448,诊断
R7047,sR3449,预防
R7047,sR3450,简介概述
R7079,R7029,涉及症状
R7079,R7033,涉及症状
R7079,R6735,涉及症状
R7079,R7082,涉及症状
R7079,R6599,涉及症状
R7079,R6728,涉及症状
R7079,R1627,涉及症状
R7079,R1231,涉及症状
R7079,sR3451,起因
R7079,R6261,涉及疾病
R7079,sR3452,诊断
R7079,sR3453,预防
R7079,sR3454,简介概述
R1004,sR3455,类别
R1004,sR3456,地址
R1004,sR3457,地理位置
R6567,R1984,涉及检查
R5420,sR3458,类别
R5420,sR3459,地址
R5420,sR3460,地理位置
R1144,sR3461,类别
R1144,sR3462,地址
R1144,sR3463,地理位置
R3840,sR3464,类别
R3840,sR3465,地址
R3840,sR3466,地理位置
R6465,R5512,涉及检查
R6465,R1984,涉及检查
R2704,sR3467,类别
R2704,sR3468,地址
R2704,sR3469,地理位置
R4945,sR3470,类别
R4945,sR3471,地址
R4945,sR3472,地理位置
R4081,sR3473,类别
R4081,sR3474,地址
R4081,sR3475,地理位置
R2933,sR3476,类别
R2933,sR3477,地址
R2933,sR3478,地理位置
R963,sR3479,类别
R963,sR3480,地址
R963,sR3481,地理位置
R798,sR3482,类别
R798,sR3483,地址
R798,sR3484,地理位置
R6743,R7067,涉及症状
R6743,R7070,涉及症状
R6743,R6780,涉及症状
R6743,R6752,涉及症状
R6743,R6616,涉及症状
R6743,sR3485,起因
R6743,R6349,涉及疾病
R6743,sR3486,诊断
R6743,sR3487,预防
R6743,sR3488,简介概述
R2509,sR3489,类别
R2509,sR3490,地址
R2509,sR3491,地理位置
R3591,sR3492,类别
R3591,sR3493,地址
R3591,sR3494,地理位置
R5110,sR3495,类别
R5110,sR3496,地址
R5110,sR3497,地理位置
R3193,sR3498,类别
R3193,sR3499,地址
R3193,sR3500,地理位置
R2160,sR3501,类别
R2160,sR3502,地址
R2160,sR3503,地理位置
R2775,sR3504,类别
R2775,sR3505,地址
R2775,sR3506,地理位置
R6417,R4596,科室
R6417,R7078,涉及症状
R6417,R6657,涉及症状
R6417,R6728,涉及症状
R6417,R6690,涉及症状
R6417,R6710,涉及症状
R6417,R6929,涉及症状
R6417,R6719,涉及症状
R6417,R6665,涉及症状
R6417,sR3507,ICD10编码
R6417,sR3508,饮食禁忌
R6417,sR3509,并发症
R6417,sR3510,发病机制
R6417,sR3511,一般治疗
R6417,sR3512,发病部位
R6417,sR3513,诊断
R6417,sR3514,预防
R6417,sR3515,预后
R6417,sR3516,简介概述
R6417,sR3517,药物治疗
R6417,sR3518,治疗方法
R6417,sR3519,高发人群
R2227,sR3520,类别
R2227,sR3521,地址
R2227,sR3522,地理位置
R1295,sR3523,类别
R1295,sR3524,地址
R1295,sR3525,地理位置
R4415,sR3526,类别
R4415,sR3527,地址
R4415,sR3528,地理位置
R6676,R3031,涉及检查
R783,sR3529,类别
R783,sR3530,地址
R783,sR3531,地理位置
R4348,sR3532,类别
R4348,sR3533,地址
R4348,sR3534,地理位置
R1104,sR3535,类别
R1104,sR3536,地址
R1104,sR3537,地理位置
R6443,R1738,科室
R6443,R6639,涉及症状
R6443,sR3538,ICD10编码
R6443,sR3539,饮食禁忌
R6443,sR3540,并发症
R6443,sR3541,发病机制
R6443,sR3542,一般治疗
R6443,sR3543,发病部位
R6443,sR3544,诊断
R6443,sR3545,预防
R6443,sR3546,预后
R6443,sR3547,简介概述
R6443,sR3548,药物治疗
R6443,sR3549,治疗方法
R6443,sR3550,高发人群
R5341,sR3551,类别
R5341,sR3552,地址
R5341,sR3553,地理位置
R6380,R4075,科室
R6380,R6674,涉及症状
R6380,R6979,涉及症状
R6380,R6802,涉及症状
R6380,R7102,涉及症状
R6380,R6691,涉及症状
R6380,sR3554,ICD10编码
R6380,sR3555,饮食禁忌
R6380,sR3556,并发症
R6380,sR3557,发病机制
R6380,sR3558,一般治疗
R6380,sR3559,发病部位
R6380,sR3560,诊断
R6380,sR3561,预防
R6380,sR3562,预后
R6380,sR3563,随访
R6380,sR3564,简介概述
R6380,sR3565,药物治疗
R6380,sR3566,治疗方法
R6380,sR3567,高发人群
R816,sR3568,类别
R816,sR3569,地址
R816,sR3570,地理位置
R6063,sR3571,类别
R6063,sR3572,地址
R6063,sR3573,地理位置
R3039,sR3574,类别
R3039,sR3575,地址
R3039,sR3576,地理位置
R1152,sR3577,类别
R1152,sR3578,地址
R1152,sR3579,地理位置
R3666,sR3580,类别
R3666,sR3581,地址
R3666,sR3582,地理位置
R2960,sR3583,类别
R2960,sR3584,地址
R2960,sR3585,地理位置
R2142,sR3586,类别
R2142,sR3587,地址
R2142,sR3588,地理位置
R1636,sR3589,类别
R1636,sR3590,地址
R1636,sR3591,地理位置
R1980,sR3592,类别
R1980,sR3593,地址
R1980,sR3594,地理位置
R4936,sR3595,类别
R4936,sR3596,地址
R4936,sR3597,地理位置
R3325,sR3598,类别
R3325,sR3599,地址
R3325,sR3600,地理位置
R4643,sR3601,类别
R4643,sR3602,地址
R4643,sR3603,地理位置
R595,sR3604,类别
R595,sR3605,地址
R595,sR3606,地理位置
R1605,sR3607,类别
R1605,sR3608,地址
R1605,sR3609,地理位置
R4865,sR3610,类别
R4865,sR3611,地址
R4865,sR3612,地理位置
R3038,sR3613,类别
R3038,sR3614,地址
R3038,sR3615,地理位置
R427,sR3616,类别
R427,sR3617,地址
R427,sR3618,地理位置
R5775,sR3619,类别
R5775,sR3620,地址
R5775,sR3621,地理位置
R57,sR3622,类别
R57,sR3623,地址
R57,sR3624,地理位置
R91,sR3625,类别
R91,sR3626,地址
R91,sR3627,地理位置
R2576,sR3628,类别
R2576,sR3629,地址
R2576,sR3630,地理位置
R2594,sR3631,类别
R2594,sR3632,地址
R2594,sR3633,地理位置
R832,sR3634,类别
R832,sR3635,地址
R832,sR3636,地理位置
R5220,sR3637,类别
R5220,sR3638,地址
R5220,sR3639,地理位置
R2528,sR3640,类别
R2528,sR3641,地址
R2528,sR3642,地理位置
R2957,sR3643,类别
R2957,sR3644,地址
R2957,sR3645,地理位置
R4262,sR3646,类别
R4262,sR3647,地址
R4262,sR3648,地理位置
R3608,sR3649,类别
R3608,sR3650,地址
R3608,sR3651,地理位置
R6749,sR3652,起因
R6749,R2301,涉及检查
R6749,sR3653,诊断
R6749,sR3654,预防
R6749,sR3655,简介概述
R2579,sR3656,类别
R2579,sR3657,地址
R2579,sR3658,地理位置
R6284,R4763,科室
R6284,R6623,涉及症状
R6284,sR3659,ICD10编码
R6284,sR3660,饮食禁忌
R6284,sR3661,并发症
R6284,sR3662,发病机制
R6284,sR3663,一般治疗
R6284,sR3664,发病部位
R6284,sR3665,诊断
R6284,sR3666,预防
R6284,sR3667,预后
R6284,sR3668,随访
R6284,sR3669,简介概述
R6284,sR3670,药物治疗
R6284,sR3671,治疗方法
R6284,sR3672,高发人群
R3147,sR3673,类别
R3147,sR3674,地址
R3147,sR3675,地理位置
R2307,sR3676,类别
R2307,sR3677,地址
R2307,sR3678,地理位置
R1727,sR3679,类别
R1727,sR3680,地址
R1727,sR3681,地理位置
R3158,sR3682,类别
R3158,sR3683,地址
R3158,sR3684,地理位置
R2083,sR3685,类别
R2083,sR3686,地址
R2083,sR3687,地理位置
R1589,sR3688,类别
R1589,sR3689,地址
R1589,sR3690,地理位置
R626,sR3691,类别
R626,sR3692,地址
R626,sR3693,地理位置
R3051,sR3694,类别
R3051,sR3695,地址
R3051,sR3696,地理位置
R3215,sR3697,类别
R3215,sR3698,地址
R3215,sR3699,地理位置
R5784,sR3700,类别
R5784,sR3701,地址
R5784,sR3702,地理位置
R2620,sR3703,类别
R2620,sR3704,地址
R2620,sR3705,地理位置
